zcta,population_2024,population_2024_moe,households_total,renter_households,renter_hh_share_pct,population_cagr_10yr_pct,population_2014_proxy,population_projection_2035,median_hh_income,median_renter_hh_income,pct_cost_burdened_30plus,pct_severely_cost_burdened_50plus,pct_under_5,under_5_count,under_5_density_per_sqmi,pct_dual_income_mc_hh,pct_bachelors_or_higher,foreign_born_pct,lep_pct,lep_speakers_5plus,top_language_1_name,top_language_1_speakers,top_language_2_name,top_language_2_speakers,top_language_3_name,top_language_3_speakers,top_language_4_name,top_language_4_speakers,top_language_5_name,top_language_5_speakers,pct_asian,pct_black,pct_hispanic,pct_white_nh,pct_other,pct_asian_2014,pct_black_2014,pct_hispanic_2014,pct_white_nh_2014,commute_min_seattle_cbd,commute_min_slu,commute_min_bellevue_cbd,commute_min_redmond_msft,commute_min_everett_boeing,commute_min_renton_boeing,moe_flags,acs_vintage
98001,36041,2047,12037,2868,23.83,1.37,31456,,107218,,41.04,17.96,4.86,1751,94.0,10.09,28.36,27.52,14.66,5027,Spanish,3958,Russian/Polish/Slavic,1824,Korean,1337,Other Indo-European,1134,Tagalog/Filipino,862,16.85,7.95,16.61,47.2,11.39,,,,,75.2,77.4,76.0,82.3,126.5,56.9,,ACS5 2019-2023
98002,37284,1375,14343,7205,50.23,1.37,32541,,77714,,57.02,27.18,7.2,2683,374.5,3.97,18.05,24.32,16.45,5691,Spanish,6470,Russian/Polish/Slavic,1989,Other Asian/Pacific Island,1113,Tagalog/Filipino,505,Vietnamese,342,5.91,11.83,23.98,45.5,12.79,,,,,76.6,78.7,75.7,81.3,126.9,56.7,,ACS5 2019-2023
98003,52210,1859,19451,10183,52.35,0.96,47433,,70800,,60.22,27.21,7.05,3679,319.9,3.7,27.66,32.01,21.45,10410,Spanish,8811,Other Indo-European,1585,Russian/Polish/Slavic,1490,Other Asian/Pacific Island,1485,Korean,1201,13.44,19.16,22.6,31.75,13.05,,,,,75.4,77.5,77.9,84.7,127.3,59.0,,ACS5 2019-2023
98004,39435,1789,19275,12295,63.79,1.07,35443,,176367,,29.1,15.2,3.28,1292,177.7,5.19,76.37,41.74,14.56,5552,Chinese (Mandarin/Cantonese),5476,Other Indo-European,3550,Other Asian/Pacific Island,2839,Spanish,1593,Korean,1063,39.94,1.54,6.03,44.73,7.75,,,,,34.2,35.0,7.3,23.7,75.9,44.4,,ACS5 2019-2023
98005,21929,1497,8997,4404,48.95,1.07,19709,,158396,,39.67,25.32,6.68,1465,199.6,8.96,71.19,42.06,15.08,3086,Chinese (Mandarin/Cantonese),2508,Other Indo-European,2431,Other Asian/Pacific Island,2166,Spanish,1240,Russian/Polish/Slavic,564,44.39,0.9,7.05,42.31,5.34,,,,,42.9,43.9,9.8,18.0,77.6,44.2,,ACS5 2019-2023
98006,40770,1841,14075,2872,20.4,1.07,36643,,197344,,43.25,26.6,4.57,1864,165.7,12.98,71.99,36.2,16.78,6529,Chinese (Mandarin/Cantonese),8220,Spanish,1744,Other Indo-European,1434,Korean,1217,Russian/Polish/Slavic,1156,41.21,1.56,8.48,43.65,5.09,,,,,47.3,48.6,27.3,35.9,87.7,27.4,,ACS5 2019-2023
98007,26838,1675,11543,7541,65.33,1.07,24121,,126814,,35.41,17.31,5.04,1353,313.2,4.16,69.03,52.0,17.55,4472,Other Indo-European,3976,Other Asian/Pacific Island,3058,Chinese (Mandarin/Cantonese),2347,Spanish,1927,Russian/Polish/Slavic,956,45.65,5.45,11.91,30.85,6.14,,,,,46.1,46.5,15.2,15.0,78.1,45.2,,ACS5 2019-2023
98008,27138,1615,9407,2538,26.98,1.07,24391,,175242,,30.06,15.88,4.46,1209,217.5,10.89,66.8,39.58,14.21,3684,Chinese (Mandarin/Cantonese),2060,Other Indo-European,1983,Other Asian/Pacific Island,1911,Spanish,1856,Russian/Polish/Slavic,970,32.1,1.27,8.97,51.46,6.19,,,,,49.7,50.3,23.0,17.6,80.4,45.9,,ACS5 2019-2023
98010,6351,240,2425,301,12.41,1.58,5430,,148692,,17.28,3.99,5.81,369,24.7,13.57,55.5,14.23,5.0,299,Spanish,298,Other Indo-European,211,Tagalog/Filipino,85,Other Asian/Pacific Island,65,Korean,64,10.19,0.33,9.04,74.35,6.09,,,,,86.4,88.4,78.9,81.2,130.2,63.9,renter_households,ACS5 2019-2023
98011,28250,419,11543,4945,42.84,1.9,23412,,127445,,48.96,25.4,5.62,1587,225.0,9.75,60.52,21.39,9.2,2453,Spanish,1886,Other Indo-European,1529,Chinese (Mandarin/Cantonese),1393,Other Asian/Pacific Island,893,Russian/Polish/Slavic,496,17.46,0.86,9.63,64.05,8.0,,,,,53.5,52.0,48.5,45.1,53.6,67.4,,ACS5 2019-2023
98012,76123,2630,27229,9118,33.49,1.09,68271,,141653,,47.96,20.96,7.12,5420,346.1,12.53,55.66,29.45,11.59,8191,Other Asian/Pacific Island,5762,Other Indo-European,5169,Spanish,4339,Chinese (Mandarin/Cantonese),2680,Korean,1934,28.34,3.43,9.51,50.69,8.04,,,,,66.0,64.2,62.4,58.4,37.4,81.3,,ACS5 2019-2023
98014,7681,777,2789,264,9.47,2.08,6254,,157680,,37.12,27.65,6.35,488,5.6,11.83,48.2,7.98,3.85,277,Spanish,352,Chinese (Mandarin/Cantonese),137,Other Indo-European,103,French/Haitian/Cajun,48,Other Asian/Pacific Island,44,4.82,0.2,8.85,82.67,3.46,,,,,81.4,81.3,66.0,57.8,85.3,77.8,renter_households,ACS5 2019-2023
98019,11712,679,3995,407,10.19,0.91,10700,,156003,,41.28,27.03,6.25,732,20.5,12.32,53.47,16.44,4.28,470,Spanish,655,Other Indo-European,372,Other Asian/Pacific Island,233,Russian/Polish/Slavic,143,German/W.Germanic,124,10.34,0.44,12.54,70.32,6.36,,,,,74.2,73.7,60.0,51.5,73.8,75.0,renter_households,ACS5 2019-2023
98020,19064,818,8833,2169,24.56,0.64,17891,,122243,,52.93,20.38,4.67,891,172.2,6.24,59.89,9.44,1.82,331,Other Indo-European,331,Other Asian/Pacific Island,244,Spanish,219,Chinese (Mandarin/Cantonese),206,Korean,143,6.08,0.57,3.03,85.35,4.97,,,,,56.7,54.6,61.7,62.5,47.8,77.6,,ACS5 2019-2023
98021,35445,1612,12113,2506,20.69,1.09,31789,,172559,,40.06,21.87,7.02,2490,245.4,15.21,59.89,28.58,10.78,3551,Other Indo-European,3583,Other Asian/Pacific Island,2013,Chinese (Mandarin/Cantonese),1847,Spanish,1763,Russian/Polish/Slavic,984,29.06,1.12,8.98,54.8,6.04,,,,,58.2,56.5,54.4,51.0,47.7,73.2,,ACS5 2019-2023
98022,22135,1060,8647,1665,19.26,1.23,19580,,116613,,47.33,23.3,6.79,1503,2.1,9.66,28.61,6.23,2.6,537,Spanish,1282,Other Indo-European,181,German/W.Germanic,149,Tagalog/Filipino,73,Other Asian/Pacific Island,30,1.93,0.27,10.47,77.89,9.43,,,,,128.0,129.8,118.1,118.0,166.2,105.9,renter_households,ACS5 2019-2023
98023,49593,1704,17802,5977,33.57,0.96,45055,,101960,,52.0,24.43,6.44,3195,311.6,5.74,34.1,24.52,14.12,6552,Spanish,4932,Other Asian/Pacific Island,2184,Korean,1867,Tagalog/Filipino,1342,Russian/Polish/Slavic,1167,14.63,14.57,15.47,40.97,14.36,,,,,74.4,76.5,78.6,85.8,126.6,60.3,,ACS5 2019-2023
98024,4632,711,1907,234,12.27,-0.03,4646,,152726,,33.33,27.78,6.43,298,13.5,7.45,53.26,10.13,2.01,87,Spanish,245,German/W.Germanic,96,Other Asian/Pacific Island,68,Russian/Polish/Slavic,34,French/Haitian/Cajun,8,2.31,1.14,10.66,80.74,5.14,,,,,73.9,74.6,58.3,53.1,96.4,62.2,renter_households,ACS5 2019-2023
98025,51,72,51,0,0.0,0.0,51,,,,,,0.0,0,0.0,0.0,100.0,0.0,0.0,0,Spanish,0,French/Haitian/Cajun,0,German/W.Germanic,0,Russian/Polish/Slavic,0,Other Indo-European,0,0.0,0.0,0.0,100.0,0.0,,,,,76.6,78.1,65.0,64.8,113.5,56.3,population_2024,ACS5 2019-2023
98026,38985,1144,15344,4253,27.72,0.64,36587,,124462,,42.56,20.88,4.27,1666,177.6,8.41,47.27,16.74,7.91,2951,Spanish,1456,Chinese (Mandarin/Cantonese),926,Other Asian/Pacific Island,853,Korean,736,Other Indo-European,724,12.82,2.93,6.47,67.93,9.86,,,,,62.5,60.4,65.0,64.2,36.3,82.2,,ACS5 2019-2023
98027,28335,1249,11468,3491,30.44,1.86,23573,,150000,,45.8,18.91,4.38,1241,21.7,8.53,65.48,18.12,5.59,1515,Chinese (Mandarin/Cantonese),1245,Spanish,969,Other Indo-European,859,Russian/Polish/Slavic,674,Other Asian/Pacific Island,469,15.6,1.25,7.0,68.82,7.33,,,,,66.1,67.4,52.6,51.2,99.6,49.7,,ACS5 2019-2023
