zcta,city_primary,county_primary,county_secondary,classification,jurisdiction_for_regs,population_2024,population_cagr_10yr_pct,renter_households_est,renter_hh_in_small_portfolio_est,renter_hh_share_pct,owner_occupied_pct,median_hh_income,median_home_value_2025,median_rent_2br,rent_to_price_ratio_monthly_pct,rent_growth_36mo_pct,days_on_market_rental,vacancy_rate,rate_locked_owner_pct_est,adu_permits_2024_jurisdiction,adu_permits_5yr_jurisdiction,tech_relocation_proxy,lep_pct,foreign_born_pct,pct_bachelors_or_higher,lca_total_fy2024,lep_renter_tech_raw,total_visa_renter_est,visa_renter_density,tech_cohort_share_proxy,avg_commute_min,min_commute_min,reg_complexity_score,zip_school_quality_composite,multi_zone_zip_flag,pct_under_5,under_5_density_per_sqmi,children_per_100_slots,zoning_permissiveness,facility_net_3yr,avg_tuition_infant,tuition_to_median_income_ratio,top_language_1_name,top_language_2_name,moe_flags,anomaly_flags,pm_score,pm_rank,rental_score,rental_rank,daycare_score,daycare_rank,dual_use_score,dual_use_rank,_n_renter_sp,_n_accidental,_n_lep_renter_tech,_n_visa,_n_reg_complex,_n_tech_capped,_n_avg_commute,_n_pop_growth,_n_school,_n_rtp,_n_rent_growth,_n_dom_vac,_n_stability,_n_reg_friendly,_n_min_commute,_n_under5,_n_gap,_n_zoning,_n_income,_n_hi_emp,_n_fac_trend
98001,Auburn,King,Pierce,suburban,Auburn,36041.0,1.37,6396.0,4208.0,23.83,58.0,107218.0,620000.0,1990.0,0.382,15.2,29.0,5.2,58.0,40.0,110.0,0.07804672,14.66,27.52,28.36,0.0,0.0,423.0,0.06613508442776736,0.0,82.38333333333334,56.9,2.5,64.6,true,4.86,94.0,243.0,1.0,0.0,2150.0,0.3,Spanish,Russian/Polish/Slavic,,CROSS_COUNTY,29.16,66,53.59,65,40.91,89,46.82,82,0.6491,0.1792,0.0,0.1324,0.2308,0.0,0.4994,0.5201,0.2623,0.5935,0.9059,0.6563,0.4244,0.7692,0.5198,0.1858,0.63,0.5,0.2731,0.3965,0.5
98002,Auburn,King,,suburban,Auburn,37284.0,1.37,8234.0,5100.0,50.23,46.0,77714.0,545000.0,1990.0,0.434,16.0,27.0,5.8,52.0,40.0,110.0,0.043897599999999995,16.45,24.32,18.05,0.0,0.0,814.0,0.09885839203303376,0.0,82.64999999999999,56.7,2.5,57.3,false,7.2,374.5,272.0,1.0,0.0,2050.0,0.36,Spanish,Russian/Polish/Slavic,,,30.91,63,51.12,75,50.7,34,50.91,60,0.7871,0.0519,0.0,0.1978,0.2308,0.0,0.4965,0.5201,0.1066,0.7478,1.0,0.633,0.2489,0.7692,0.5218,0.7401,0.7577,0.5,0.1039,0.3129,0.5
98003,Federal Way,King,,suburban,Federal Way,52210.0,0.96,10282.0,6477.0,52.35,51.0,70800.0,565000.0,2080.0,0.437,15.5,28.0,5.5,55.0,42.0,114.0,0.08853966,21.45,32.01,27.66,0.0,0.0,1481.0,0.14403812487842832,0.0,83.63333333333334,59.0,3.0,61.2,true,7.05,319.9,238.0,1.0,0.0,2100.0,0.34,Spanish,Other Indo-European,,,37.94,36,52.31,74,45.13,73,48.59,74,1.0,0.1455,0.0,0.2883,0.3077,0.0,0.4857,0.37,0.1898,0.7567,0.9412,0.6447,0.267,0.6923,0.4995,0.6322,0.6079,0.5,0.0643,0.2819,0.5
98004,Bellevue,King,,urban,Bellevue,39435.0,1.07,7623.0,3520.0,63.79,53.0,176367.0,1980000.0,3070.0,0.186,11.0,24.0,6.8,72.0,142.0,382.0,0.31876838,14.56,41.74,76.37,4480.0,416.09451520000005,3809.0,0.4996720451265906,0.5876951331496786,36.75,7.3,1.5,93.0,true,3.28,177.7,151.0,1.0,0.0,2750.0,0.18,Chinese (Mandarin/Cantonese),Other Indo-European,,,67.24,4,59.61,35,49.29,44,54.2,33,0.5428,0.6765,1.0,1.0,0.0769,0.5246,1.0,0.4103,0.8678,0.0119,0.4118,0.5887,0.5848,0.9231,1.0,0.3512,0.2247,0.5,0.6695,0.8348,0.5
98005,Bellevue,King,,suburban,Bellevue,21929.0,1.07,3375.0,2000.0,48.95,62.0,158396.0,1620000.0,2620.0,0.193,12.5,22.0,5.4,70.0,142.0,382.0,0.29942514000000003,15.08,42.06,71.19,860.0,63.482276,1287.0,0.38133333333333336,0.2548148148148148,39.4,9.8,1.5,91.7,false,6.68,199.6,164.0,1.0,0.0,2700.0,0.21,Chinese (Mandarin/Cantonese),Other Indo-European,,,48.27,23,63.03,20,49.32,43,55.76,21,0.3077,0.6256,0.2854,0.7632,0.0769,0.5375,0.9735,0.4103,0.8401,0.0326,0.5882,0.7541,0.6014,0.9231,0.9758,0.3945,0.2819,0.5,0.5665,0.7711,0.5
98006,Bellevue,King,,suburban,Bellevue,40770.0,1.07,4229.0,3114.0,20.4,74.0,197344.0,1850000.0,2820.0,0.182,12.0,21.0,4.1,74.0,142.0,382.0,0.26060380000000005,16.78,36.2,71.99,1380.0,47.239056,847.0,0.20028375502482856,0.3263182785528494,45.699999999999996,27.3,1.5,96.4,true,4.57,165.7,155.0,1.0,0.0,2700.0,0.18,Chinese (Mandarin/Cantonese),Spanish,,,47.82,24,66.94,9,50.86,31,58.35,9,0.48,0.6448,0.2124,0.4008,0.0769,0.6884,0.904,0.4103,0.9403,0.0,0.5294,0.8934,0.804,0.9231,0.8064,0.3275,0.2423,0.5,0.7898,0.7981,0.5
98007,Bellevue,King,,suburban,Bellevue,26838.0,1.07,4953.0,2808.0,65.33,56.0,126814.0,1520000.0,2620.0,0.206,12.8,22.0,5.2,68.0,142.0,382.0,0.35895600000000005,17.55,52.0,69.03,1940.0,222.42905100000002,2149.0,0.43387845750050474,0.39168180900464367,41.016666666666666,15.0,1.5,82.0,false,5.04,313.2,209.0,1.0,0.0,2700.0,0.23,Other Indo-European,Other Asian/Pacific Island,,,64.15,7,56.59,52,53.19,20,54.86,26,0.4327,0.6159,1.0,0.8683,0.0769,0.7574,0.9557,0.4103,0.6333,0.0712,0.6235,0.773,0.4654,0.9231,0.9255,0.619,0.4802,0.5,0.3854,0.6554,0.5
98008,Bellevue,King,,suburban,Bellevue,27138.0,1.07,3544.0,2440.0,26.98,68.0,175242.0,1640000.0,2820.0,0.205,12.5,21.0,4.6,72.0,142.0,382.0,0.2643944,14.21,39.58,66.8,1680.0,64.4088144,704.0,0.1986455981941309,0.47404063205417607,44.48333333333333,17.6,1.5,81.7,true,4.46,217.5,186.0,1.0,0.0,2700.0,0.21,Chinese (Mandarin/Cantonese),Other Indo-European,,MULTI_DISTRICT,46.91,28,59.21,37,51.72,27,55.34,23,0.3758,0.6186,0.2896,0.3976,0.0769,0.7519,0.9175,0.4103,0.6269,0.0682,0.5882,0.8462,0.6952,0.9231,0.9003,0.4298,0.3789,0.5,0.6631,0.7817,0.5
98010,Black Diamond,King,,exurban,Unincorporated King,6351.0,1.58,613.0,499.0,12.41,78.0,148692.0,765000.0,1970.0,0.307,14.0,32.0,4.0,65.0,0.0,0.0,0.07897650000000002,5.0,14.23,55.5,0.0,0.0,73.0,0.11908646003262642,0.0,88.16666666666667,63.9,2.0,73.9,true,5.81,24.7,239.0,1.0,0.0,1900.0,0.25,Spanish,Other Indo-European,renter_households,LARGE_UNINC,18.4,94,57.1,50,43.08,81,49.6,69,0.0756,0.2749,0.0,0.2383,0.1538,0.0,0.4357,0.5971,0.4606,0.3709,0.7647,0.7195,0.6948,0.8462,0.4521,0.0488,0.6123,0.5,0.5109,0.4815,0.5
98011,Bothell,King,,suburban,Bothell,28250.0,1.9,4238.0,2714.0,42.84,64.0,127445.0,950000.0,2400.0,0.304,13.0,24.0,4.5,66.0,62.0,168.0,0.12945228000000003,9.2,21.39,60.52,140.0,5.517792000000001,1267.0,0.29896177442189714,0.03303445021236432,53.35,45.1,1.5,84.9,false,5.62,225.0,178.0,1.0,0.0,2350.0,0.24,Spanish,Other Indo-European,,,36.46,39,63.16,19,45.8,68,53.78,37,0.4181,0.3613,0.0248,0.5983,0.0769,0.0697,0.8197,0.7143,0.6951,0.362,0.6471,0.8057,0.5279,0.9231,0.6341,0.4447,0.3436,0.5,0.3891,0.5116,0.5
98012,Bothell,Snohomish,,suburban,Unincorporated Snohomish,76123.0,1.09,10292.0,6602.0,33.49,65.0,141653.0,900000.0,2400.0,0.319,14.0,25.0,4.4,64.0,0.0,0.0,0.16391869999999997,11.59,29.45,55.66,90.0,3.4933419000000008,1852.0,0.17994558880684025,0.008744656043528955,61.61666666666667,37.4,2.0,86.5,true,7.12,346.1,241.0,1.0,0.0,2300.0,0.27,Other Asian/Pacific Island,Other Indo-European,,LARGE_UNINC;MULTI_DISTRICT,43.66,32,66.75,10,58.72,4,62.61,3,1.0,0.3502,0.0157,0.3601,0.1538,0.0184,0.7285,0.4176,0.7292,0.4065,0.7647,0.7984,0.5762,0.8462,0.7086,0.684,0.6211,0.5,0.4705,0.5896,0.5
98014,Carnation,King,,rural,Unincorporated King,7681.0,2.08,605.0,502.0,9.47,82.0,157680.0,920000.0,1970.0,0.255,12.5,34.0,3.8,68.0,0.0,0.0,0.03846360000000001,3.85,7.98,48.2,0.0,0.0,57.0,0.09421487603305785,0.0,74.93333333333334,57.8,2.0,83.2,false,6.35,5.6,277.0,1.0,0.0,1900.0,0.27,Spanish,Chinese (Mandarin/Cantonese),renter_households,LARGE_UNINC;RURAL_FRINGE,20.41,89,58.45,40,48.76,48,53.39,39,0.0761,0.2772,0.0,0.1886,0.1538,0.0,0.5816,0.7802,0.6588,0.2166,0.5882,0.705,0.7509,0.8462,0.5111,0.0111,0.7797,0.5,0.5624,0.5368,0.5
